t,u,v,r,X,Y,Z
3987.9987239837646,297,297,25.58,-8.84781440621631,-22.650614948218397,186.54065452369986
4020.3213691711426,302,301,26.29,-6.737373551190298,-23.585491483587933,181.5028506168217
4046.9467639923096,306,305,27.24,-5.057427209273742,-24.255595148003923,175.17290538605883
4112.6768589019775,307,310,28.55,-4.48070083399554,-24.922844579395864,167.13519939461443
4143.610954284668,307,312,29.17,-4.385464820383019,-25.09006284215982,163.58278857443406
4174.415349960327,308,315,29.88,-3.9519310723068486,-25.514458288215433,159.69578121540303
4207.154273986816,310,318,30.75,-3.200100282941155,-25.784289242209827,155.17755911272332
4237.865447998047,310,318,31.03,-3.171224096050291,-25.551624047629783,153.77731043236358
4288.471698760986,308,319,31.14,-3.792026346837785,-25.787792369299204,153.23410220668728
4320.15061378479,306,319,31.15,-4.422610503390585,-25.77951378426893,153.18490987853104
4327.433109283447,306,319,31.15,-4.422610503390585,-25.77951378426893,153.18490987853104
4350.974321365356,301,309,26.9,-6.950403681443754,-26.073689686235202,177.38698671807592
4381.971597671509,300,309,27.34,-7.1984699122487585,-25.654069223106326,174.53218517616102
4414.879560470581,299,310,27.8,-7.433326466580039,-25.595223479919134,171.6442425437497
4447.670936584473,299,311,28.18,-7.333089984773779,-25.61079392916171,169.32966439731163
4512.519598007202,307,316,28.98,-4.414217005195744,-26.657590539472118,164.65527752644036
4544.390916824341,309,317,29.31,-3.693053294796471,-26.70426250480816,162.80143100362477
4592.304706573486,309,316,29.61,-3.655636341455068,-26.090407762036545,161.15197374928206
4622.1160888671875,307,316,30.07,-4.254207143683827,-25.69128612683412,158.6867290560772
4628.519058227539,307,316,30.07,-4.254207143683827,-25.69128612683412,158.6867290560772
4655.90500831604,307,318,30.61,-4.179157426023282,-25.902218039789354,155.88728986332055
4687.628507614136,308,320,31.17,-3.7883766583422718,-26.089086126467826,153.0866199138993
4720.410585403442,308,323,31.72,-3.722689168995228,-26.598098836950733,150.4322176140051
4751.6820430755615,305,322,32.05,-4.605448535122021,-26.007074412669336,148.88330554496855
4783.658981323242,298,321,32.22,-6.719018750495628,-25.554369172688617,148.09776358523408
4816.340446472168,293,321,32.63,-8.14245559274255,-25.233275352253365,146.23689680405278
4847.041130065918,296,325,33.31,-7.089985015942878,-25.938805628103495,143.25157438355575
4927.483081817627,303,333,34.23,-4.887094428593308,-27.617332659314282,139.40140060520721
4960.472822189331,300,334,34.54,-5.69792030691607,-27.66375961523893,138.15025890898212
4967.675447463989,300,334,34.54,-5.69792030691607,-27.66375961523893,138.15025890898212
4992.003440856934,296,335,34.73,-6.800097923439598,-27.805102715012314,137.39446998895025
5021.360635757446,295,335,34.78,-7.073252134879278,-27.765129881896996,137.1969506243888
5054.007768630981,295,336,34.97,-7.034821539922829,-27.904952172559412,136.4515282446738
5086.939573287964,295,337,35.09,-7.010764013995477,-28.099205974819824,135.98489434928018
5119.280815124512,293,337,35.0,-7.591095028319697,-28.171461075897934,136.33456979189262
5152.513027191162,292,336,35.0,-7.8722466960352415,-27.88103364212579,136.33456979189262
5184.103012084961,292,337,35.06,-7.858774511158967,-28.123249790542715,136.10125335756535
5216.314315795898,290,337,35.02,-8.429733041157098,-28.155372291731226,136.25670881542666
5264.509677886963,288,337,35.0,-8.996853366897419,-28.171461075897934,136.33456979189262
5296.224594116211,290,338,34.98,-8.439372530054934,-28.478161744952914,136.41251980320877
5326.455354690552,292,338,34.82,-7.912941825423132,-28.609020615693645,137.0393435587663
5358.690500259399,289,336,34.73,-8.783459817776148,-28.097788006749283,137.39446998895025
5391.958475112915,286,335,34.92,-9.581056259493064,-27.65381492818951,136.6469055760665
5424.295425415039,284,333,34.91,-10.147553747395758,-27.079384042633276,136.68604820155377
5456.486225128174,282,330,34.81,-10.74207750823539,-26.281138074755884,137.07871136788972
5488.144397735596,281,328,34.82,-11.021597542553648,-25.68973279776572,137.0393435587663
5519.929885864258,281,326,34.86,-11.008950844283364,-25.077067574703168,136.88209818463116
5567.440986633301,281,323,34.94,-10.98374431687802,-24.146871640185385,136.56868754196458
5599.421262741089,275,316,34.78,-12.7318538427827,-22.212103905517598,137.1969506243888
5630.803108215332,273,311,34.87,-13.263392411587912,-20.697223198272933,136.84284320952804
5664.698362350464,281,308,35.2,-10.902614387264716,-19.6368548970938,135.5599415544387
5696.469068527222,291,306,35.5,-8.038561767078239,-18.898235831370474,134.4143645835561
