t,u0,v0,u1,v1,u2,v2,u3,v3,X,Y,Z,Roll,Pitch,Yaw
4030.2071571350098,348,179,212,186,199,46,341,40,-6.710134090163149,43.440838826393446,12.281876971250046,-0.9288522032534843,-0.9595260109561068,1.5326724088481616
4067.3866271972656,207,186,343,179,0,0,0,0,-6.710134090163149,43.440838826393446,12.281876971250046,-0.9288522032534843,-0.9595260109561068,1.5326724088481616
4094.2585468292236,204,186,340,179,192,44,333,41,0.9448227954265873,7.034571736903953,-2.4562507865235133,-0.45498767472725443,1.0275027333830253,-1.5481855118959134
4143.65553855896,202,188,338,180,189,49,329,40,0.962100029745572,7.335278623045921,-2.569574064718499,-0.5477206888372559,1.02204333432379,-1.533732572686084
4175.259351730347,336,181,200,189,0,0,0,0,0.962100029745572,7.335278623045921,-2.569574064718499,-0.5477206888372559,1.02204333432379,-1.533732572686084
4206.885576248169,335,181,200,189,187,51,327,41,-7.299029305020791,38.594815471220414,11.005625492031538,-0.9530400468948773,-0.9484093069768423,1.558070023649308
4238.893747329712,201,187,335,180,0,0,0,0,-7.299029305020791,38.594815471220414,11.005625492031538,-0.9530400468948773,-0.9484093069768423,1.558070023649308
4270.119905471802,201,187,336,180,188,48,327,44,0.8542859384911394,7.4265416423698865,-1.9287745107209213,-0.34071296841915893,0.999758258585327,-1.5467054938955123
4308.252811431885,200,189,335,181,187,48,327,43,0.7980640859890904,7.7777533116223125,-1.9030424757449962,-0.35915736984115787,0.9992012023059395,-1.543036651774684
4334.329128265381,199,188,334,181,0,0,0,0,0.7980640859890904,7.7777533116223125,-1.9030424757449962,-0.35915736984115787,0.9992012023059395,-1.543036651774684
4366.180181503296,196,189,331,182,183,49,323,44,0.6378279068046309,8.405373358262494,-1.3933996905453463,-0.2533270414501889,0.9626017227736295,-1.5439785974053206
4398.161888122559,193,191,327,183,179,52,319,44,0.47835929700225616,9.107292762136696,-1.0926920739812351,-0.23348412940863678,0.9364319157488749,-1.5360708379619188
4446.860074996948,189,192,323,184,175,50,315,46,-0.28060456944607476,-9.656295356179342,0.3492382969837686,-3.109966719126948,-0.8289366925937777,1.5778616433179928
4478.394985198975,184,192,319,184,171,51,311,43,-0.10131199872934744,-10.335752774499156,0.12757694269432274,-3.1031593771474486,-0.8021207834884412,1.5887704146672579
4515.485525131226,316,183,180,190,0,0,0,0,-0.10131199872934744,-10.335752774499156,0.12757694269432274,-3.1031593771474486,-0.8021207834884412,1.5887704146672579
4542.294263839722,312,182,177,189,163,48,304,42,8.227645009022192,-32.96743538522012,-10.101014384448506,-2.1774989672371388,0.9406657451609689,-1.5401489335342986
4573.940277099609,309,180,172,187,159,49,300,39,8.44759224984662,-32.21923887593496,-10.017468628915221,-2.20320625534095,0.9359233856738712,-1.5326711113175784
4606.24885559082,306,180,169,186,155,44,297,40,8.51940943543682,-31.569078460452296,-10.085026859899887,-2.2025755202825743,0.9372889694145756,-1.5269264216121605
4641.2177085876465,304,180,166,186,152,43,295,38,8.660409266687424,-31.328065653783852,-10.11948283140284,-2.1990240400782484,0.9406838318575679,-1.522976482200544
4669.706583023071,302,179,164,185,149,42,293,36,8.73758376917533,-30.86032867828541,-10.071580229280999,-2.2148371952583052,0.9400568907366963,-1.5190704265207853
4702.216863632202,300,179,162,185,148,42,291,36,8.809703855539349,-30.682133621537037,-10.091853307820054,-2.211596032770097,0.9435394899664057,-1.5151464342552357
4734.008073806763,299,179,160,185,146,41,290,35,8.904470824891158,-30.59890805034673,-10.137258288906132,-2.2067136490709474,0.9449948751369349,-1.5131519113602057
4782.499074935913,298,179,157,185,143,40,288,36,9.015409559572051,-30.306676506458366,-10.123944561168969,-2.1998467792690093,0.9443459104906141,-1.50970781121526
4814.051389694214,296,180,156,186,140,39,286,38,9.021557042638038,-29.853691401768565,-10.013476746743601,-2.192646176707361,0.9482455741229084,-1.5058328747439806
4834.505081176758,296,180,156,186,140,39,286,38,9.021557042638038,-29.853691401768565,-10.013476746743601,-2.192646176707361,0.9482455741229084,-1.5058328747439806
4857.912540435791,295,180,155,187,140,42,285,37,9.090418170315363,-29.889279712745378,-9.944340239058509,-2.1883188631787673,0.9514543076707439,-1.5038113309846823
4910.568714141846,293,181,153,187,138,43,283,38,9.177026103530583,-29.69902241708717,-9.894278575840177,-2.1864269463986616,0.9512462661682752,-1.499850652601249
4942.789077758789,293,182,152,188,137,43,283,39,9.2362966531077,-29.816290293724244,-9.913539893588775,-2.169222871387224,0.9518868816015631,-1.4998044630060214
4980.122327804565,292,182,152,190,137,44,282,39,9.225829118168107,-29.722174494042136,-9.85050181702153,-2.1567374924006018,0.9609731506338346,-1.497844606194551
