t,u,v,r,X,Y,Z
4608.9348793029785,491,247,26.23,78.2859375,-3.310416666666667,222
4641.50857925415,490,248,26.26,77.828125,-3.783333333333333,222
4704.705715179443,486,252,26.62,75.996875,-5.675,222
4735.726118087769,482,255,26.54,74.165625,-7.09375,222
4783.502817153931,478,259,26.51,72.33437500000001,-8.985416666666666,222
4817.134141921997,472,263,26.45,69.5875,-10.877083333333333,222
4825.037717819214,472,263,26.45,69.5875,-10.877083333333333,222
4847.546100616455,466,268,26.42,66.840625,-13.241666666666667,222
4879.947900772095,458,274,26.29,63.178125,-16.079166666666666,222
4913.196325302124,451,280,26.19,59.9734375,-18.916666666666664,222
4944.310426712036,443,286,26.07,56.3109375,-21.754166666666666,222
4976.495742797852,437,292,25.97,53.5640625,-24.591666666666665,222
5007.940769195557,430,297,25.89,50.359375,-26.95625,222
5039.353132247925,423,302,25.89,47.1546875,-29.320833333333333,222
5120.380640029907,410,314,25.83,41.203125,-34.99583333333333,222
5153.553009033203,403,320,25.94,37.9984375,-37.83333333333333,222
5161.158323287964,403,320,25.94,37.9984375,-37.83333333333333,222
5183.039426803589,396,327,25.82,34.79375,-41.14375,222
5216.30597114563,389,335,25.93,31.5890625,-44.92708333333333,222
5248.88801574707,382,342,25.88,28.384375000000002,-48.2375,222
5279.805421829224,376,350,25.9,25.6375,-52.02083333333333,222
5313.107967376709,371,357,25.9,23.3484375,-55.33125,222
5344.871997833252,369,366,25.96,22.4328125,-59.5875,222
5375.996828079224,365,372,25.86,20.6015625,-62.425,222
5424.533367156982,361,376,25.9,18.7703125,-64.31666666666666,222
5454.941987991333,358,379,25.87,17.396875,-65.73541666666667,222
5488.255262374878,357,380,25.86,16.939062500000002,-66.20833333333333,222
5519.763946533203,357,379,25.7,16.939062500000002,-65.73541666666667,222
5550.577402114868,358,376,25.27,17.396875,-64.31666666666666,222
5584.515571594238,361,373,25.21,18.7703125,-62.89791666666667,222
5615.115642547607,365,368,25.15,20.6015625,-60.53333333333333,222
5647.95446395874,370,362,25.14,22.890625,-57.69583333333333,222
5680.814027786255,375,356,25.17,25.1796875,-54.858333333333334,222
5712.265253067017,381,350,25.12,27.9265625,-52.02083333333333,222
5767.701625823975,387,344,25.14,30.673437500000002,-49.18333333333333,222
5792.6294803619385,392,337,25.13,32.9625,-45.87291666666667,222
5823.912858963013,398,330,25.06,35.709375,-42.5625,222
5856.870651245117,403,324,25.2,37.9984375,-39.725,222
5888.777732849121,410,318,25.16,41.203125,-36.887499999999996,222
5919.6953773498535,416,311,25.12,43.95,-33.577083333333334,222
5953.22322845459,422,305,25.15,46.696875,-30.739583333333332,222
5984.762668609619,429,298,25.12,49.901562500000004,-27.429166666666667,222
6016.803026199341,435,291,25.15,52.6484375,-24.11875,222
6049.753427505493,442,284,25.29,55.853125,-20.808333333333334,222
6096.259355545044,449,278,25.36,59.057812500000004,-17.97083333333333,222
6129.379510879517,455,271,25.39,61.8046875,-14.660416666666666,222
6158.828258514404,460,265,25.45,64.09375,-11.822916666666666,222
6191.4074420928955,465,259,25.57,66.3828125,-8.985416666666666,222
6224.998235702515,469,255,25.74,68.2140625,-7.09375,222
6257.0459842681885,473,251,25.77,70.04531250000001,-5.202083333333333,222
6287.737607955933,477,246,25.84,71.8765625,-2.8375,222
6320.676565170288,481,242,26.0,73.7078125,-0.9458333333333333,222
6352.68759727478,484,238,26.08,75.08125,0.9458333333333333,222
6399.408340454102,486,235,26.16,75.996875,2.364583333333333,222
6432.523727416992,487,234,26.24,76.4546875,2.8375,222
6464.672327041626,487,234,26.23,76.4546875,2.8375,222
6497.167110443115,486,235,26.53,75.996875,2.364583333333333,222
6528.6760330200195,484,237,26.7,75.08125,1.41875,222
6558.01796913147,480,241,26.63,73.25,-0.47291666666666665,222
6592.83447265625,476,246,26.61,71.41875,-2.8375,222
6625.127553939819,472,252,26.47,69.5875,-5.675,222
6655.291318893433,467,257,26.38,67.2984375,-8.039583333333333,222
6689.3322467803955,463,262,26.32,65.46718750000001,-10.404166666666667,222
6737.184286117554,458,268,26.21,63.178125,-13.241666666666667,222
6767.565727233887,453,273,26.28,60.8890625,-15.60625,222
6799.797058105469,447,279,26.18,58.1421875,-18.443749999999998,222
6832.116365432739,441,285,26.04,55.3953125,-21.28125,222
6863.958835601807,435,291,26.02,52.6484375,-24.11875,222
6896.225214004517,429,298,25.96,49.901562500000004,-27.429166666666667,222
6926.705360412598,422,305,25.95,46.696875,-30.739583333333332,222
6959.605932235718,415,312,25.97,43.4921875,-34.05,222
6992.364168167114,408,319,25.95,40.2875,-37.360416666666666,222
7024.962425231934,402,326,25.86,37.540625,-40.670833333333334,222
7073.09889793396,395,332,25.95,34.3359375,-43.50833333333333,222
7105.201244354248,390,338,25.89,32.046875,-46.34583333333333,222
7135.95986366272,385,343,25.9,29.7578125,-48.71041666666667,222
7167.226314544678,381,348,25.91,27.9265625,-51.074999999999996,222
7200.069427490234,377,352,25.81,26.095312500000002,-52.96666666666667,222
7232.4700355529785,373,355,25.85,24.2640625,-54.385416666666664,222
7264.709234237671,370,358,25.79,22.890625,-55.80416666666667,222
7296.899080276489,367,361,25.78,21.517187500000002,-57.22291666666666,222
7328.639268875122,364,364,25.82,20.14375,-58.641666666666666,222
7377.248287200928,361,366,25.77,18.7703125,-59.5875,222
7408.411264419556,359,368,25.8,17.8546875,-60.53333333333333,222
7416.187763214111,359,368,25.8,17.8546875,-60.53333333333333,222
7438.241243362427,357,371,25.79,16.939062500000002,-61.952083333333334,222
7504.319906234741,354,375,25.88,15.565625,-63.84375,222
7535.339593887329,352,377,25.83,14.65,-64.78958333333333,222
7568.650722503662,350,378,25.81,13.734375,-65.2625,222
7600.780963897705,350,379,25.83,13.734375,-65.73541666666667,222
7632.535696029663,349,379,25.87,13.2765625,-65.73541666666667,222
