t,u0,v0,u1,v1,u2,v2,u3,v3,X,Y,Z,Roll,Pitch,Yaw
3511.0161304473877,211,311,186,145,376,301,374,137,-20.61999107369547,3.9649995884969655,-4.989966502336185,-0.2558674285044617,0.19369807182141294,-1.5104676553257204
3535.853147506714,210,316,185,149,376,309,375,144,-20.646830704206113,2.234348961353966,-4.7094347816445135,-0.28412938643919144,0.12462311212832654,-1.5123510655838157
3567.60311126709,211,319,185,160,376,315,379,158,-20.635176389669144,-0.19350462024583948,-4.003789397737497,-0.34680607012089437,0.011453004895790007,-1.5178063066097223
3599.7793674468994,214,310,186,158,376,306,381,158,-20.147237590297472,0.43993128457443476,-3.5912381524604915,-0.3584401516056522,0.059183087725033584,-1.519887085335292
3631.354331970215,218,291,188,142,379,281,381,136,-19.707417759977847,6.3013442772306725,-3.8870896975571716,-0.2648813602786393,0.3142942588879955,-1.5159451855406227
3679.719924926758,220,274,183,118,381,259,378,106,-18.936153456429082,12.216601328579845,-3.5514728609587705,-0.027619425339020256,0.5460818831998199,-1.5056857984791856
3709.0845108032227,222,269,179,105,385,253,378,90,-18.363283201077056,13.849525317933033,-3.247449475196989,0.10685707996540605,0.600649677588226,-1.5033567532875578
3743.5238361358643,223,274,179,105,391,260,384,89,-18.279966449485162,12.97688757002383,-3.3372450315145263,0.06990292517479278,0.5574879312795591,-1.5092300401077037
3775.5370140075684,226,277,181,112,397,269,396,99,-17.874744362621875,11.546844816225775,-2.8921285161899064,-0.03412250836423485,0.4913212252659628,-1.5205412140479098
3807.573080062866,232,268,187,124,395,258,402,110,-17.101360393887777,11.605649797480734,-2.4340637270992183,-0.09069573512109826,0.537318218033144,-1.5276642800582132
3839.768409729004,234,258,190,148,394,253,411,139,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
3871.528148651123,398,258,416,172,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
3904.308319091797,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
3936.3303184509277,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
3967.3805236816406,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4015.470027923584,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4046.8621253967285,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
4080.0509452819824,0,0,0,0,0,0,0,0,-16.738586355528312,12.195809140166315,-1.4539945839642399,-0.26328468805454963,0.548665322331608,-1.5317803631107791
